Date,temp_hi,temp_avg,temp_lo,hum_hi,hum_avg,hum_lo,press_hi,press_avg
9/1/2020,84.0 F,72.7 F,65.8 F,99 %,89 %,68 %,29.93 in,29.85 in
9/2/2020,90.1 F,78.7 F,72.9 F,99 %,89 %,66 %,29.88 in,29.63 in
9/3/2020,93.0 F,80.5 F,72.7 F,99 %,86 %,56 %,29.74 in,29.55 in
9/4/2020,90.9 F,78.4 F,69.4 F,99 %,80 %,50 %,29.93 in,29.65 in
9/5/2020,82.0 F,71.5 F,60.4 F,95 %,63 %,35 %,30.12 in,29.92 in
9/6/2020,86.9 F,73.6 F,59.7 F,93 %,63 %,36 %,30.09 in,29.96 in
9/7/2020,86.4 F,73.9 F,62.8 F,96 %,68 %,35 %,29.98 in,29.84 in
9/8/2020,88.7 F,76.1 F,64.8 F,97 %,75 %,51 %,30.03 in,29.88 in
9/9/2020,79.9 F,74.3 F,70.7 F,99 %,94 %,78 %,30.12 in,30.02 in
9/10/2020,78.4 F,75.3 F,73.6 F,99 %,99 %,95 %,30.10 in,29.95 in
9/11/2020,80.8 F,75.1 F,71.8 F,99 %,89 %,74 %,30.06 in,29.93 in
9/12/2020,74.1 F,69.4 F,64.0 F,99 %,85 %,67 %,30.11 in,30.02 in
9/13/2020,83.3 F,71.6 F,59.7 F,96 %,78 %,54 %,30.07 in,29.86 in
9/14/2020,79.2 F,72.2 F,63.5 F,95 %,72 %,46 %,30.11 in,29.89 in
9/15/2020,70.9 F,61.1 F,53.1 F,83 %,63 %,43 %,30.22 in,30.09 in
9/16/2020,74.8 F,63.2 F,52.3 F,97 %,78 %,54 %,30.13 in,29.95 in
9/17/2020,74.3 F,67.7 F,62.8 F,99 %,87 %,70 %,29.96 in,29.78 in
9/18/2020,74.1 F,66.9 F,58.6 F,99 %,78 %,49 %,30.02 in,29.73 in
9/19/2020,66.7 F,56.7 F,47.3 F,66 %,49 %,33 %,30.22 in,30.02 in
9/20/2020,68.7 F,57.2 F,46.0 F,90 %,58 %,34 %,30.37 in,30.20 in
9/21/2020,67.6 F,56.8 F,47.8 F,78 %,56 %,28 %,30.42 in,30.21 in
9/22/2020,71.8 F,58.3 F,44.8 F,91 %,63 %,35 %,30.22 in,29.84 in
9/23/2020,81.1 F,67.0 F,55.2 F,74 %,59 %,40 %,29.89 in,29.77 in
9/24/2020,72.7 F,66.1 F,62.1 F,96 %,79 %,68 %,29.91 in,29.81 in
9/25/2020,69.6 F,63.6 F,60.6 F,99 %,93 %,71 %,30.00 in,29.87 in
9/26/2020,71.4 F,65.3 F,61.0 F,99 %,96 %,84 %,29.94 in,29.82 in
9/27/2020,80.6 F,70.3 F,65.5 F,99 %,92 %,67 %,29.85 in,29.73 in
9/28/2020,81.9 F,71.9 F,65.8 F,99 %,89 %,69 %,29.77 in,29.69 in
9/29/2020,82.0 F,69.0 F,54.5 F,99 %,88 %,64 %,29.72 in,29.54 in
9/30/2020,72.3 F,61.7 F,53.6 F,99 %,76 %,47 %,29.76 in,29.43 in
