type,time,latitude,longitude,altitude (ft),speed (mph),distance (mi),distance_interval (ft),name,desc
T,2020-08-30 05:10:05.908,40.007404577,-75.249082074,296.9,0.0,0.000,0.00,2020-08-30 01:10:05,
T,2020-08-30 05:10:06.908,40.007404887,-75.249057533,315.5,4.7,0.001,6.88,,
T,2020-08-30 05:10:07.908,40.007411661,-75.249070781,317.1,3.0,0.002,4.46,,
T,2020-08-30 05:10:08.998,40.007407372,-75.249089500,317.4,3.4,0.003,5.47,,
T,2020-08-30 05:10:09.998,40.007404368,-75.249106201,317.6,3.3,0.004,4.80,,
T,2020-08-30 05:10:10.998,40.007412083,-75.249127797,317.8,4.5,0.005,6.67,,
T,2020-08-30 05:10:11.998,40.007412552,-75.249152829,318.1,4.8,0.007,7.01,,
T,2020-08-30 05:10:12.998,40.007415421,-75.249175374,318.4,4.4,0.008,6.40,,
T,2020-08-30 05:10:13.998,40.007419833,-75.249177694,318.6,1.2,0.008,1.73,,
T,2020-08-30 05:10:14.998,40.007422913,-75.249199266,318.7,4.2,0.009,6.15,,
T,2020-08-30 05:10:15.998,40.007426585,-75.249225672,318.9,5.1,0.011,7.52,,
T,2020-08-30 05:10:16.998,40.007437020,-75.249240141,319.2,3.8,0.012,5.56,,
T,2020-08-30 05:10:17.998,40.007449020,-75.249249008,319.4,3.4,0.013,5.03,,
T,2020-08-30 05:10:18.998,40.007459280,-75.249264944,319.5,4.0,0.014,5.82,,
T,2020-08-30 05:10:19.999,40.007458819,-75.249285333,319.7,3.9,0.015,5.71,,
T,2020-08-30 05:10:20.998,40.007474096,-75.249320224,319.9,,0.017,11.25,,
T,2020-08-30 05:10:21.999,40.007490708,-75.249350221,320.3,7.3,0.019,10.36,,
T,2020-08-30 05:10:22.999,40.007503880,-75.249387680,320.7,7.4,0.021,11.54,,
T,2020-08-30 05:10:23.999,40.007518161,-75.249421910,321.1,7.6,0.023,10.91,,
T,2020-08-30 05:10:24.999,40.007523748,-75.249460358,321.6,7.4,0.025,10.96,,
T,2020-08-30 05:10:25.999,40.007534385,-75.249501225,322.0,7.8,0.028,12.09,,
T,2020-08-30 05:10:26.999,40.007545947,-75.249531629,322.4,7.3,0.030,9.50,,
T,2020-08-30 05:10:27.999,40.007557487,-75.249561110,322.7,6.4,0.031,9.27,,
T,2020-08-30 05:10:28.999,40.007571672,-75.249594166,322.9,6.8,0.033,10.60,,
T,2020-08-30 05:10:29.999,40.007581140,-75.249626240,323.1,6.9,0.035,9.62,,
T,2020-08-30 05:10:30.999,40.007592559,-75.249658393,323.3,6.6,0.037,9.92,,
T,2020-08-30 05:10:31.999,40.007602871,-75.249690569,323.5,6.7,0.039,9.76,,
T,2020-08-30 05:10:32.999,40.007612021,-75.249726962,323.7,7.0,0.041,10.73,,
T,2020-08-30 05:10:33.999,40.007618374,-75.249766975,323.8,7.5,0.043,11.45,,
T,2020-08-30 05:10:34.999,40.007631695,-75.249802109,324.2,7.6,0.045,10.97,,
T,2020-08-30 05:10:35.999,40.007652039,-75.249841982,324.5,8.3,0.048,13.40,,
T,2020-08-30 05:10:36.999,40.007669233,-75.249886242,324.7,9.3,0.050,13.89,,
T,2020-08-30 05:10:37.999,40.007683286,-75.249921190,325.0,8.5,0.052,11.05,,
T,2020-08-30 05:10:38.999,40.007695537,-75.249947406,325.3,6.7,0.054,8.59,,
T,2020-08-30 05:10:39.999,40.007702111,-75.249968085,325.5,5.0,0.055,6.27,,
T,2020-08-30 05:10:40.999,40.007717683,-75.250001597,325.6,5.9,0.057,10.97,,
T,2020-08-30 05:10:41.999,40.007739842,-75.250034826,325.9,7.9,0.060,12.32,,
T,2020-08-30 05:10:42.999,40.007753593,-75.250067386,326.3,7.7,0.062,10.41,,
T,2020-08-30 05:10:43.999,40.007765502,-75.250099444,326.6,6.9,0.063,9.97,,
T,2020-08-30 05:10:44.999,40.007779187,-75.250130580,326.9,6.8,0.065,10.05,,
T,2020-08-30 05:10:45.999,40.007790311,-75.250167317,328.1,7.2,0.067,11.06,,
T,2020-08-30 05:10:46.999,40.007806313,-75.250200315,328.9,7.4,0.070,10.93,,
T,2020-08-30 05:10:47.999,40.007814655,-75.250233399,329.5,7.0,0.071,9.75,,
T,2020-08-30 05:10:48.999,40.007825841,-75.250267790,330.2,6.9,0.073,10.46,,
T,2020-08-30 05:10:49.999,40.007828075,-75.250290909,330.8,5.7,0.075,6.53,,
T,2020-08-30 05:10:50.999,40.007836244,-75.250319970,331.2,5.1,0.076,8.67,,
T,2020-08-30 05:10:51.999,40.007842024,-75.250336474,331.6,4.7,0.077,5.08,,
T,2020-08-30 05:10:52.999,40.007844492,-75.250345630,331.8,2.7,0.078,2.72,,
T,2020-08-30 05:10:53.999,40.007847868,-75.250356823,331.9,2.1,0.078,3.37,,
