County,stats_type,vtd_abbrv,party_cd,race_code,ethnic_code,sex_code,age,total_voters
Alamance,voter,169,UNA,O,NL,F,Age 26 - 40,1
Alamance,voter,263,REP,W,UN,M,Age 26 - 40,12
Alamance,voter,254,UNA,I,HL,M,Age 41 - 65,1
Alamance,voter,254,DEM,M,HL,F,Age 26 - 40,1
Alamance,voter,265,UNA,U,UN,F,Age 26 - 40,2
Alamance,voter,183,UNA,B,NL,F,Age 18 - 25,2
Alamance,voter,427,REP,W,UN,F,Age Over 66,16
Alamance,voter,262,UNA,B,NL,F,Age 18 - 25,15
Alamance,voter,417,DEM,B,UN,F,Age 41 - 65,26
Alamance,voter,319,UNA,W,UN,M,Age 41 - 65,13
Alamance,voter,339,UNA,B,NL,M,Age 41 - 65,7
Alamance,voter,427,UNA,W,NL,F,Age 41 - 65,97
Alamance,voter,426,DEM,O,NL,M,Age 26 - 40,1
Alamance,voter,254,REP,W,UN,M,Age Over 66,20
Alamance,voter,264,LIB,W,HL,F,Age 26 - 40,1
Alamance,voter,169,REP,O,HL,F,Age 18 - 25,1
Alamance,voter,319,UNA,U,HL,F,Age 41 - 65,1
Alamance,voter,60,REP,U,UN,U,Age 26 - 40,2
Alamance,voter,254,DEM,B,NL,F,Age 41 - 65,95
Alamance,voter,359,LIB,W,NL,F,Age 18 - 25,1
Alamance,voter,253,UNA,B,UN,F,Age 26 - 40,7
Alamance,voter,254,DEM,B,UN,F,Age Over 66,4
Alamance,voter,169,DEM,B,UN,M,Age 26 - 40,18
Alamance,voter,425,UNA,W,NL,M,Age 41 - 65,32
Alamance,voter,374,DEM,U,UN,M,Age 41 - 65,6
Alamance,voter,424,UNA,W,NL,U,Age 41 - 65,1
Alamance,voter,319,DEM,W,UN,F,Age 41 - 65,9
Alamance,voter,179,REP,W,UN,M,Age 41 - 65,31
Alamance,voter,372,REP,W,NL,M,Age 41 - 65,252
Alamance,voter,414,UNA,W,UN,F,Age 41 - 65,8
Alamance,voter,359,DEM,U,UN,M,Age 41 - 65,3
Alamance,voter,418,UNA,A,NL,F,Age 26 - 40,1
Alamance,voter,183,UNA,O,NL,F,Age 18 - 25,1
Alamance,voter,60,REP,B,NL,F,Age 18 - 25,1
Alamance,voter,422,REP,U,UN,F,Age 26 - 40,1
Alamance,voter,418,DEM,O,NL,F,Age Over 66,1
Alamance,voter,318,UNA,W,HL,F,Age 18 - 25,1
Alamance,voter,417,DEM,U,HL,F,Age Over 66,1
Alamance,voter,424,REP,U,HL,F,Age 26 - 40,1
Alamance,voter,427,REP,U,UN,F,Age 26 - 40,1
Alamance,voter,339,DEM,U,UN,F,Age 26 - 40,1
Alamance,voter,359,DEM,B,NL,F,Age 41 - 65,34
Alamance,voter,253,DEM,U,UN,U,Age 18 - 25,14
Alamance,voter,169,UNA,W,UN,U,Age 26 - 40,3
Alamance,voter,253,DEM,M,UN,M,Age 26 - 40,1
Alamance,voter,339,DEM,W,NL,M,Age 18 - 25,3
Alamance,voter,261,DEM,U,HL,M,Age 26 - 40,1
Alamance,voter,374,DEM,B,NL,U,Age 26 - 40,1
Alamance,voter,418,DEM,B,NL,F,Age 18 - 25,5
Alamance,voter,219,LIB,W,UN,M,Age 41 - 65,1
Alamance,voter,422,DEM,U,UN,U,Age Over 66,1
Alamance,voter,254,UNA,O,HL,F,Age 18 - 25,2
Alamance,voter,420,DEM,A,NL,F,Age Over 66,1
Alamance,voter,340,REP,A,NL,F,Age 41 - 65,1
Alamance,voter,417,REP,W,UN,M,Age 26 - 40,7
Alamance,voter,420,DEM,M,UN,F,Age 26 - 40,5
Alamance,voter,420,UNA,W,UN,M,Age 26 - 40,10
Alamance,voter,427,REP,W,HL,F,Age 41 - 65,2
Alamance,voter,60,REP,W,UN,M,Age 18 - 25,9
Alamance,voter,253,UNA,W,NL,M,Age Over 66,21
Alamance,voter,423,REP,W,UN,M,Age 26 - 40,4
Alamance,voter,180,UNA,U,NL,F,Age 41 - 65,1
Alamance,voter,427,LIB,U,HL,M,Age 41 - 65,1
Alamance,voter,262,UNA,W,NL,F,Age 26 - 40,58
Alamance,voter,60,REP,W,HL,F,Age 41 - 65,2
Alamance,voter,253,UNA,W,HL,M,Age 26 - 40,2
Alamance,voter,262,DEM,W,UN,M,Age 41 - 65,6
Alamance,voter,418,DEM,A,NL,F,Age 41 - 65,1
Alamance,voter,181,UNA,B,UN,F,Age 18 - 25,8
Alamance,voter,181,LIB,B,NL,M,Age 26 - 40,2
Alamance,voter,263,DEM,A,UN,M,Age Over 66,1
Alamance,voter,253,DEM,B,UN,F,Age 26 - 40,43
Alamance,voter,339,UNA,B,UN,F,Age 26 - 40,2
Alamance,voter,339,UNA,W,UN,F,Age 18 - 25,3
Alamance,voter,264,REP,W,NL,M,Age 26 - 40,18
Alamance,voter,254,REP,A,UN,F,Age 18 - 25,1
Alamance,voter,183,UNA,M,NL,M,Age 18 - 25,1
Alamance,voter,182,DEM,U,UN,U,Age 41 - 65,6
Alamance,voter,169,REP,M,HL,M,Age 41 - 65,1
Alamance,voter,372,DEM,A,NL,M,Age 26 - 40,1
Alamance,voter,253,DEM,U,HL,F,Age 18 - 25,5
Alamance,voter,423,DEM,U,UN,M,Age 18 - 25,3
Alamance,voter,340,UNA,B,UN,F,Age 41 - 65,3
Alamance,voter,262,REP,O,NL,M,Age 26 - 40,1
Alamance,voter,421,DEM,W,HL,F,Age 41 - 65,1
Alamance,voter,181,UNA,U,UN,U,Age Over 66,5
Alamance,voter,374,DEM,O,HL,U,Age Over 66,1
Alamance,voter,424,REP,M,NL,M,Age 26 - 40,1
Alamance,voter,180,UNA,W,UN,F,Age Over 66,20
Alamance,voter,169,LIB,W,NL,M,Age 26 - 40,2
Alamance,voter,60,DEM,M,UN,M,Age 18 - 25,1
Alamance,voter,424,DEM,I,UN,F,Age 41 - 65,1
Alamance,voter,180,REP,W,NL,F,Age Over 66,143
Alamance,voter,414,DEM,O,NL,F,Age 41 - 65,3
Alamance,voter,319,UNA,B,NL,F,Age 41 - 65,1
Alamance,voter,359,DEM,W,UN,F,Age 41 - 65,22
Alamance,voter,254,DEM,O,NL,F,Age 41 - 65,6
Alamance,voter,169,UNA,O,NL,M,Age 18 - 25,1
Alamance,voter,264,UNA,U,UN,F,Age 41 - 65,1
Alamance,voter,340,UNA,W,NL,M,Age 26 - 40,136
Alamance,voter,423,DEM,I,UN,F,Age 26 - 40,1
Alamance,voter,340,REP,W,NL,F,Age 18 - 25,48
Alamance,voter,264,DEM,B,UN,M,Age 41 - 65,14
Alamance,voter,180,REP,W,UN,F,Age 41 - 65,1
Alamance,voter,181,REP,O,UN,M,Age 18 - 25,1
Alamance,voter,265,DEM,W,UN,F,Age Over 66,10
Alamance,voter,424,REP,B,NL,M,Age 18 - 25,1
Alamance,voter,265,UNA,W,UN,F,Age 18 - 25,2
Alamance,voter,253,UNA,W,NL,F,Age 18 - 25,12
Alamance,voter,359,UNA,W,UN,M,Age 41 - 65,26
Alamance,voter,420,REP,W,UN,M,Age 41 - 65,18
Alamance,voter,414,DEM,W,HL,M,Age 18 - 25,1
Alamance,voter,421,DEM,O,HL,F,Age Over 66,1
Alamance,voter,340,DEM,W,UN,U,Age 26 - 40,1
Alamance,voter,60,UNA,W,HL,F,Age 18 - 25,1
Alamance,voter,359,REP,W,NL,F,Age 18 - 25,28
Alamance,voter,340,UNA,B,NL,M,Age 41 - 65,12
Alamance,voter,339,UNA,U,HL,F,Age 18 - 25,1
Alamance,voter,183,DEM,B,NL,M,Age Over 66,34
Alamance,voter,422,DEM,W,NL,F,Age 18 - 25,5
Alamance,voter,253,DEM,I,NL,F,Age 41 - 65,1
Alamance,voter,319,UNA,O,NL,F,Age 41 - 65,1
Alamance,voter,374,DEM,W,NL,M,Age 41 - 65,62
Alamance,voter,169,DEM,U,UN,U,Age 26 - 40,10
Alamance,voter,424,REP,B,NL,F,Age 26 - 40,3
Alamance,voter,183,UNA,W,NL,M,Age 26 - 40,91
Alamance,voter,169,REP,W,UN,M,Age Over 66,18
Alamance,voter,426,REP,O,NL,F,Age 41 - 65,1
Alamance,voter,426,UNA,U,UN,M,Age Over 66,1
Alamance,voter,318,UNA,O,NL,F,Age 41 - 65,1
Alamance,voter,374,UNA,O,NL,F,Age 26 - 40,2
Alamance,voter,427,REP,U,HL,M,Age 41 - 65,1
Alamance,voter,424,REP,W,NL,M,Age 41 - 65,39
Alamance,voter,219,REP,U,UN,F,Age 26 - 40,1
Alamance,voter,419,REP,U,UN,M,Age 18 - 25,1
Alamance,voter,424,UNA,O,HL,M,Age 18 - 25,6
Alamance,voter,181,DEM,B,HL,F,Age 41 - 65,1
Alamance,voter,374,DEM,B,UN,U,Age 18 - 25,2
Alamance,voter,169,UNA,B,NL,M,Age Over 66,2
Alamance,voter,419,UNA,A,NL,F,Age 26 - 40,1
Alamance,voter,180,DEM,W,NL,F,Age 26 - 40,29
Alamance,voter,264,DEM,B,NL,F,Age 41 - 65,43
Alamance,voter,427,UNA,M,NL,F,Age 26 - 40,1
Alamance,voter,414,DEM,W,HL,F,Age 26 - 40,2
Alamance,voter,60,DEM,B,NL,M,Age 41 - 65,30
Alamance,voter,359,DEM,W,HL,F,Age 26 - 40,1
Alamance,voter,424,DEM,W,UN,F,Age 18 - 25,2
Alamance,voter,421,UNA,O,HL,F,Age 26 - 40,6
Alamance,voter,263,REP,O,UN,M,Age 18 - 25,1
Alamance,voter,180,UNA,W,UN,U,Age 26 - 40,2
Alamance,voter,182,REP,W,NL,M,Age 26 - 40,76
Alamance,voter,263,DEM,U,NL,F,Age 41 - 65,1
Alamance,voter,181,UNA,U,NL,F,Age 41 - 65,2
Alamance,voter,181,UNA,W,UN,U,Age 41 - 65,2
Alamance,voter,374,UNA,O,NL,M,Age 18 - 25,1
Alamance,voter,424,UNA,O,HL,F,Age 26 - 40,5
Alamance,voter,253,DEM,W,HL,F,Age 26 - 40,2
Alamance,voter,254,UNA,B,UN,F,Age 26 - 40,3
Alamance,voter,179,UNA,B,UN,F,Age 18 - 25,1
Alamance,voter,253,REP,W,HL,M,Age Over 66,1
Alamance,voter,424,DEM,O,HL,F,Age 41 - 65,7
Alamance,voter,182,REP,O,NL,M,Age 18 - 25,1
Alamance,voter,254,REP,I,UN,F,Age 26 - 40,2
Alamance,voter,265,REP,O,HL,M,Age Over 66,1
Alamance,voter,424,DEM,O,NL,M,Age 26 - 40,2
Alamance,voter,169,UNA,O,HL,F,Age 41 - 65,1
Alamance,voter,372,UNA,U,UN,F,Age Over 66,2
Alamance,voter,181,REP,W,UN,M,Age Over 66,22
Alamance,voter,181,REP,M,HL,F,Age 18 - 25,1
Alamance,voter,169,UNA,B,HL,M,Age 26 - 40,1
Alamance,voter,417,REP,W,NL,F,Age 18 - 25,15
Alamance,voter,169,UNA,U,UN,F,Age 26 - 40,10
Alamance,voter,253,DEM,W,HL,M,Age 18 - 25,3
Alamance,voter,169,REP,W,NL,F,Age 41 - 65,224
Alamance,voter,263,REP,W,NL,F,Age 26 - 40,73
Alamance,voter,169,DEM,B,NL,F,Age Over 66,10
Alamance,voter,181,UNA,B,UN,M,Age Over 66,1
Alamance,voter,180,DEM,W,UN,U,Age Over 66,1
Alamance,voter,423,DEM,B,NL,M,Age 41 - 65,62
Alamance,voter,254,UNA,A,NL,M,Age 41 - 65,2
Alamance,voter,180,DEM,A,NL,F,Age 26 - 40,2
Alamance,voter,372,UNA,W,NL,F,Age Over 66,64
Alamance,voter,181,REP,O,HL,M,Age 26 - 40,1
Alamance,voter,180,DEM,B,UN,M,Age 18 - 25,8
Alamance,voter,219,DEM,W,HL,F,Age 26 - 40,1
Alamance,voter,419,LIB,W,UN,F,Age 41 - 65,1
Alamance,voter,421,LIB,B,NL,M,Age 41 - 65,1
Alamance,voter,339,DEM,B,UN,U,Age 41 - 65,1
Alamance,voter,265,REP,W,NL,U,Age 18 - 25,1
Alamance,voter,179,LIB,W,UN,M,Age 18 - 25,1
Alamance,voter,421,REP,W,NL,M,Age 26 - 40,16
Alamance,voter,417,DEM,A,NL,M,Age 26 - 40,1
Alamance,voter,60,REP,W,NL,U,Age 26 - 40,2
Alamance,voter,359,REP,U,UN,U,Age 18 - 25,2
Alamance,voter,374,REP,B,UN,F,Age 41 - 65,1
Alamance,voter,424,DEM,I,NL,F,Age Over 66,1
Alamance,voter,372,DEM,U,UN,U,Age Over 66,1
Alamance,voter,359,UNA,U,UN,U,Age 18 - 25,10
